"Title","Description","BiocVersion","SourceUrl","SourceVersion","DataProvided","Maintainer","RDataClass","ResourceName"
"ACC.mutations.20160128"," Package provides mutations datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Mutations
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/Mutation+Annotation+Format+(MAF)+Specification. Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","ACC.mutations.20160128"
"BLCA.mutations.20160128"," Package provides mutations datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Mutations
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/Mutation+Annotation+Format+(MAF)+Specification. Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","BLCA.mutations.20160128"
"BRCA.mutations.20160128"," Package provides mutations datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Mutations
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/Mutation+Annotation+Format+(MAF)+Specification. Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","BRCA.mutations.20160128"
"CESC.mutations.20160128"," Package provides mutations datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Mutations
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/Mutation+Annotation+Format+(MAF)+Specification. Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","CESC.mutations.20160128"
"CHOL.mutations.20160128"," Package provides mutations datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Mutations
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/Mutation+Annotation+Format+(MAF)+Specification. Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","CHOL.mutations.20160128"
"COADREAD.mutations.20160128"," Package provides mutations datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Mutations
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/Mutation+Annotation+Format+(MAF)+Specification. Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","COADREAD.mutations.20160128"
"DLBC.mutations.20160128"," Package provides mutations datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Mutations
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/Mutation+Annotation+Format+(MAF)+Specification. Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","DLBC.mutations.20160128"
"ESCA.mutations.20160128"," Package provides mutations datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Mutations
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/Mutation+Annotation+Format+(MAF)+Specification. Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","ESCA.mutations.20160128"
"GBMLGG.mutations.20160128"," Package provides mutations datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Mutations
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/Mutation+Annotation+Format+(MAF)+Specification. Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","GBMLGG.mutations.20160128"
"HNSC.mutations.20160128"," Package provides mutations datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Mutations
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/Mutation+Annotation+Format+(MAF)+Specification. Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","HNSC.mutations.20160128"
